infMethod,nObservations,time
Incremental_MH_noCPS,30,7.054254425
Incremental_MH_noCPS,30,7.43979366
Incremental_MH_noCPS,30,7.475683362
Incremental_MH_noCPS,30,7.625548597
Incremental_MH_noCPS,30,7.654396191
Incremental_MH_noCPS,30,7.421060289
Incremental_MH_noCPS,40,8.721958572
Incremental_MH_noCPS,40,9.00906752
Incremental_MH_noCPS,40,9.452354415
Incremental_MH_noCPS,40,10.015771769
Incremental_MH_noCPS,40,10.061865261
Incremental_MH_noCPS,40,9.90722641
Incremental_MH_noCPS,40,8.861494597
Incremental_MH_noCPS,40,9.170293304
Incremental_MH_noCPS,40,9.391845142
Incremental_MH_noCPS,40,9.931741895
Incremental_MH_noCPS,40,9.935841852
Incremental_MH_noCPS,40,9.834310885
Incremental_MH_noCPS,40,8.76256718
Incremental_MH_noCPS,40,8.797088245
Incremental_MH_noCPS,40,9.257151409
Incremental_MH_noCPS,40,9.689262344
Incremental_MH_noCPS,40,9.98156311
Incremental_MH_noCPS,40,9.944256178
Incremental_MH_noCPS,40,8.772319641
Incremental_MH_noCPS,40,9.028080394
Incremental_MH_noCPS,50,11.218376446
Incremental_MH_noCPS,50,11.775976796
Incremental_MH_noCPS,50,12.256326344
Incremental_MH_noCPS,50,10.742318506
Incremental_MH_noCPS,50,10.819446476
Incremental_MH_noCPS,50,10.805142892
Incremental_MH_noCPS,50,11.942191982
Incremental_MH_noCPS,50,15.269849174
Incremental_MH_noCPS,50,11.167356814
Incremental_MH_noCPS,50,11.094182992
Incremental_MH_noCPS,50,11.153283518
Incremental_MH_noCPS,50,12.094421413
Incremental_MH_noCPS,50,12.657743938
Incremental_MH_noCPS,50,10.434747402
Incremental_MH_noCPS,50,10.729227205
Incremental_MH_noCPS,50,11.259309676
Incremental_MH_noCPS,50,11.665336903
Incremental_MH_noCPS,50,12.080281893
Incremental_MH_noCPS,50,10.170325489
Incremental_MH_noCPS,50,11.257820367
Incremental_MH_noCPS,60,13.325421201
Incremental_MH_noCPS,60,14.503007947
Incremental_MH_noCPS,60,13.219230844
Incremental_MH_noCPS,60,12.661790046
Incremental_MH_noCPS,60,13.146742424
Incremental_MH_noCPS,60,14.171890345
Incremental_MH_noCPS,60,13.282920089
Incremental_MH_noCPS,60,12.82653587
Incremental_MH_noCPS,60,12.877871222
Incremental_MH_noCPS,60,13.869871505999999
Incremental_MH_noCPS,60,13.859350656
Incremental_MH_noCPS,60,12.418016403
Incremental_MH_noCPS,60,12.920700278
Incremental_MH_noCPS,60,13.728340587
Incremental_MH_noCPS,60,14.014989456
Incremental_MH_noCPS,60,11.948111797
Incremental_MH_noCPS,60,13.107824752
Incremental_MH_noCPS,60,13.592822811
Incremental_MH_noCPS,60,14.5158803
Incremental_MH_noCPS,60,11.805797703
Incremental_MH_noCPS,70,14.95473548
Incremental_MH_noCPS,70,15.695045342
Incremental_MH_noCPS,70,15.963675542
Incremental_MH_noCPS,70,14.514195358
Incremental_MH_noCPS,70,14.905376309
Incremental_MH_noCPS,70,16.174958385
Incremental_MH_noCPS,70,15.295203988
Incremental_MH_noCPS,70,14.874985993
Incremental_MH_noCPS,70,15.181213595
Incremental_MH_noCPS,70,16.867560608
Incremental_MH_noCPS,70,14.735846204
Incremental_MH_noCPS,70,14.858148676999999
Incremental_MH_noCPS,70,16.309680575
Incremental_MH_noCPS,70,14.870211733
Incremental_MH_noCPS,70,14.742523045
Incremental_MH_noCPS,70,15.609341424
Incremental_MH_noCPS,70,16.422758956
Incremental_MH_noCPS,70,14.4609397
Incremental_MH_noCPS,70,15.931898247
Incremental_MH_noCPS,70,16.79997285
Incremental_MH_noCPS,80,18.300647963
Incremental_MH_noCPS,80,17.226916669
Incremental_MH_noCPS,80,18.710274497
Incremental_MH_noCPS,80,18.575607854
Incremental_MH_noCPS,80,17.308844592
Incremental_MH_noCPS,80,18.476562971
